ticker,score,close,initial_stop,ret63,ret20,sma50,sma200
INTC,151.64290195380684,98.88500213623047,87.01880187988282,1.0259168070898816,0.9473218691085536,56.70370002746582,40.539325046539304
MRVL,136.72469019126916,164.63999938964844,144.88319946289062,1.0941062784680708,0.5041768334802448,111.50951446533203,88.80197187423705
ARM,111.91859329382442,204.82989501953125,180.2503076171875,0.9155512431960291,0.3768225390677604,151.42249908447266,141.52087482452393
AMD,70.5684356647384,346.6700134277344,305.0696118164063,0.40768265486443833,0.5744846260314478,238.30719970703126,212.3138996887207
MU,60.77784522934183,584.1500244140625,514.052021484375,0.33484567364439943,0.5463522059322499,428.6985211181641,279.21392654418946
TXN,45.4270648347508,280.5150146484375,253.27036775861467,0.24667802096193236,0.4066543838336105,215.85730041503905,191.86260665893553
AVGO,42.29093238329245,417.45001220703125,386.49107360839844,0.26340405094623676,0.3276405620677454,350.89849182128904,339.6754588317871
ADI,36.454136038959085,396.8800048828125,366.42643192836215,0.2564625394873792,0.21236566056352357,343.8521435546875,280.6719988250732
KLAC,27.314164102987267,1713.969970703125,1527.9021606445312,0.216772743706525,0.11292411041954731,1594.89259765625,1262.5228018188477
GOOGL,25.7505788903342,383.07080078125,359.2815039498465,0.11536689878330697,0.276945275680585,316.83046447753907,281.8659959411621
